[00:45:00] Medium | Medium: Suspicious Port Probing from 140.82.114.22 | 140.82.114.22
[00:45:18] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:45:18] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:45:22] Medium | Medium: Suspicious Port Probing from 52.167.249.196 | 52.167.249.196
[00:45:28] High | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:45:44] Medium | Medium: Suspicious Port Probing from 35.237.69.59 | 35.237.69.59
[00:45:59] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:46:01] High | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:46:02] High | High: Port Scan Detected from 10.186.171.135 (3 ports) | 10.186.171.135
[00:46:19] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:46:20] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:46:30] Medium | Medium: Suspicious Port Probing from 35.237.69.59 | 35.237.69.59
[00:47:28] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:47:28] Medium | Medium: Suspicious Port Probing from 52.182.143.210 | 52.182.143.210
[00:47:33] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:48:21] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:48:21] High | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:48:32] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:48:33] Medium | Medium: Suspicious Port Probing from 1.1.1.1 | 1.1.1.1
[00:49:20] Medium | Medium: Suspicious Port Probing from 20.50.201.203 | 20.50.201.203
[00:49:20] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:49:23] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:49:25] Medium | Medium: Suspicious Port Probing from 140.82.113.21 | 140.82.113.21
[00:49:39] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:50:02] Medium | Medium: Suspicious Port Probing from 35.237.69.59 | 35.237.69.59
[00:50:02] High | High: Port Scan Detected from 35.237.69.59 (3 ports) | 35.237.69.59
[00:50:16] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:50:19] Medium | Medium: Suspicious Port Probing from 8.8.8.8 | 8.8.8.8
[00:50:27] Medium | Medium: Suspicious Port Probing from 54.245.152.225 | 54.245.152.225
[00:50:39] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:51:02] Medium | Medium: Suspicious Port Probing from 10.186.171.135 | 10.186.171.135
[00:51:02] High | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
[00:51:31] High | High: Port Scan Detected from 8.8.8.8 (3 ports) | 8.8.8.8
